match_id,season,team1,team2,toss_winner,toss_decision,winner,rcb_won,opposition,rcb_batting_first,virat_runs,virat_balls,virat_out_over,virat_dismissed,virat_strike_rate,virat_run_category
1,2017,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Sunrisers Hyderabad,0,Sunrisers Hyderabad,0,0.0,0.0,25.0,0.0,0.0,0-10
5,2017,Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,1,Delhi Daredevils,1,0.0,0.0,25.0,0.0,0.0,0-10
8,2017,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,bat,Kings XI Punjab,0,Kings XI Punjab,1,0.0,0.0,25.0,0.0,0.0,0-10
12,2017,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,0,Mumbai Indians,1,62.0,48.0,16.0,1.0,129.17,50+
17,2017,Rising Pune Supergiant,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Rising Pune Supergiant,0,Rising Pune Supergiant,0,28.0,19.0,6.0,1.0,147.37,11-30
20,2017,Royal Challengers Bangalore,Gujarat Lions,Gujarat Lions,field,Royal Challengers Bangalore,1,Gujarat Lions,1,64.0,51.0,16.0,1.0,125.49,50+
27,2017,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Kolkata Knight Riders,0,Kolkata Knight Riders,0,0.0,1.0,1.0,1.0,0.0,0-10
30,2017,Royal Challengers Bangalore,Gujarat Lions,Gujarat Lions,field,Gujarat Lions,0,Gujarat Lions,1,10.0,14.0,4.0,1.0,71.43,0-10
33,2017,Rising Pune Supergiant,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Rising Pune Supergiant,0,Rising Pune Supergiant,0,55.0,48.0,18.0,1.0,114.58,50+
37,2017,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,bat,Mumbai Indians,0,Mumbai Indians,1,20.0,15.0,6.0,1.0,133.33,11-30
42,2017,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Kings XI Punjab,0,Kings XI Punjab,0,6.0,6.0,3.0,1.0,100.0,0-10
45,2017,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,0,Kolkata Knight Riders,1,5.0,9.0,3.0,1.0,55.56,0-10
55,2017,Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,1,Delhi Daredevils,1,58.0,46.0,17.0,1.0,126.09,50+
60,2008,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Kolkata Knight Riders,0,Kolkata Knight Riders,0,1.0,5.0,3.0,1.0,20.0,0-10
63,2008,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,bat,Royal Challengers Bangalore,1,Mumbai Indians,0,23.0,15.0,14.0,1.0,153.33,11-30
70,2008,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,0,Rajasthan Royals,1,13.0,16.0,10.0,1.0,81.25,11-30
74,2008,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,Chennai Super Kings,0,Chennai Super Kings,0,12.0,7.0,18.0,1.0,171.43,11-30
76,2008,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Delhi Daredevils,0,Delhi Daredevils,0,1.0,1.0,25.0,0.0,100.0,0-10
